Dortmund Hbf;51.517899;7.459294
Regensdorf-Watt;47.436562;8.472064
Pontenet;47.238844;7.254151
Courtételle;47.342823;7.317929
Corcelles-Sud;46.828846;6.957183
Biasca;46.351987;8.974165
Padova;45.417828;11.88062
Yverdon-Champ Pittet;46.782138;6.662319
Corgémont;47.193386;7.144653
La Chaux-de-Fonds;47.09864;6.826022
Busto Arsizio Nord;45.605432;8.852217
La Plaine;46.178657;5.999994
St. Gallen Winkeln;47.403922;9.300842
Wuppertal Hbf;51.254362;7.149544
Därligen;46.659759;7.814736
Thalwil;47.295971;8.564751
Othmarsingen;47.407428;8.214792
Villaz-St-Pierre;46.72058;6.960635
Sommerau;47.439016;7.851466
Hallwil;47.328638;8.175941
Elgg;47.498525;8.863391
Wettingen;47.459637;8.315984
Sierre/Siders;46.292118;7.532826
Frankfurt (Main) Hbf;50.107149;8.663785
Kenzingen;48.194452;7.764091
Aefligen;47.095502;7.559506
Leissigen;46.655112;7.775013
Tatabánya;47.584929;18.393611
Zürich Altstetten;47.391481;8.488936
Bollwiller;47.857024;7.267581
Brunnen;46.999174;8.610048
Chambésy;46.242381;6.147336
Locarno;46.172427;8.801356
Zimeysa;46.221265;6.065741
Giubiasco;46.17382;9.003587
Pont-Céard;46.28739;6.162672
Champ-du-Moulin;46.9599;6.774981
Hinwil;47.300052;8.839695
Worb SBB;46.915224;7.564836
Lenzburg;47.391194;8.170377
Concise;46.85087;6.723158
Wolfsburg;52.429495;10.787784
Mornago-Cimbro;45.729942;8.734198
Verona Porta Nuova;45.42866;10.982742
Etoy;46.475157;6.427143
Trimbach;47.366051;7.904278
Walterswil-Striegel;47.319927;7.963184
Ringsheim;48.248729;7.773035
La Sarraz;46.658779;6.517368
Essen Hbf;51.451351;7.014795
Boudry;46.959442;6.835047
Le Locle;47.057856;6.746153
Klus;47.303477;7.694757
Rümlang;47.454064;8.532741
Hünenberg Zythus;47.173601;8.450076
Habsheim;47.738114;7.418006
Le Day;46.717281;6.400517
Stein-Säckingen;47.541601;7.948819
Koblenz Dorf;47.60938;8.240142
Neuchâtel;46.99672;6.935708
Kölliken Oberdorf;47.324673;8.01907
Arnhem;51.98478;5.901005
Pully;46.510916;6.659461
Lugano;46.005506;8.946874
Glattfelden;47.548559;8.524039
La Presta Mines d'asphalte;46.931117;6.6544
Airolo;46.527528;8.608601
Niederglatt;47.487468;8.503292
Altendorf;47.19397;8.822886
Bad Krozingen;47.919723;7.697634
Sonvilier;47.141329;6.969346
Creux-de-Genthod;46.263757;6.161323
Venezia S. Lucia;45.441397;12.320462
Gümligen;46.934317;7.505498
Leuggelbach;46.975739;9.046924
Kloten;47.448608;8.58379
Mumpf;47.547615;7.909608
Zürich Flughafen;47.450379;8.562387
Ranzo-S. Abbondio;46.117;8.776528
Rapperswil;47.224884;8.816728
Gilley;47.050062;6.492567
Steinen;47.047662;8.607432
Corcelles-Peseux;46.983344;6.883804
Veytaux-Chillon;46.417608;6.927861
Morges-St-Jean;46.518188;6.508046
Corcelles-Nord;46.835256;6.960285
Romont;46.693505;6.911815
Henniez;46.734999;6.870105
Romanshorn;47.56553;9.379363
Amsterdam Centraal;52.379191;4.899427
Effretikon;47.425811;8.686663
Steinhausen Rigiblick;47.187894;8.479695
Rotkreuz;47.141761;8.43047
Laufenburg;47.559768;8.061274
Pfäffikon ZH;47.367084;8.78478
Versoix;46.279713;6.165746
Nyon;46.384411;6.23597
Rothenburg;47.088194;8.249176
Jestetten;47.654398;8.573273
Gänsbrunnen;47.265461;7.465182
Pontarlier, gare;46.89649;6.357279
Bellach;47.208901;7.507863
Berlin Gesundbrunnen;52.548961;13.388516
Istein;47.660888;7.542947
Grandgourt;47.469912;7.048091
Muttenz;47.533583;7.647879
Tenero;46.17747;8.850222
Palézieux;46.542756;6.837879
Amstetten (Württ);48.577851;9.873958
Lachen;47.190069;8.852694
Müllheim (Baden);47.80974;7.599328
Maienfeld;47.003839;9.529195
Walenstadt;47.119872;9.312968
Ballwil;47.153761;8.316883
St. Michaelisdonn;53.989617;9.11801
Grandval;47.28371;7.422303
Hägendorf;47.330265;7.843807
Le Rocheray;46.624495;6.250299
Basel SBB;47.547408;7.589548
Glarus;47.039922;9.071554
Birrwil;47.287845;8.198998
Budapest-Keleti;47.375975;19.117314
Küssnacht am Rigi;47.083592;8.433491
Spiez;46.686394;7.680096
Cormoret;47.172935;7.054123
Altstätten SG;47.374231;9.556513
Mitlödi;47.010132;9.081191
Safenwil;47.321752;7.983509
St-Louis-la-Chaussée;47.609443;7.531252
Siggenthal-Würenlingen;47.517923;8.240151
Léchelles;46.828451;7.011622
Buckten;47.408983;7.84779
Darmstadt Hbf;49.872504;8.629635
Besançon Franche-Comté TGV;47.307558;5.952675
Hedingen;47.298784;8.44595
Reuchenette-Péry;47.189727;7.247014
Oensingen;47.285022;7.70985
Benken SG;47.204461;9.00863
Oberkirch LU;47.155236;8.114221
St.Johann im Pongau;47.348378;13.19496
Bregenz;47.503001;9.739623
Rafz;47.603788;8.543429
Wil SG;47.462406;9.040982
Richterswil;47.208371;8.707464
Coppet;46.317378;6.187833
Küngoldingen;47.301967;7.941691
Aadorf;47.488115;8.903285
Pully-Nord;46.514673;6.657986
Altdorf;46.875743;8.631568
Laveno-Mombello;45.90018;8.623774
Antibes;43.585682;7.119466
Uznach;47.224273;8.980673
Lyon-Part-Dieu;45.760568;4.859991
Villeret;47.160198;7.019676
Dielsdorf;47.482416;8.459425
Moreillon;46.50839;6.785651
Linz/Donau Hbf;48.290178;14.292129
Zürich Enge;47.3641;8.530808
Killwangen-Spreitenbach;47.433326;8.354197
Lutry;46.503778;6.690608
Morges;46.511096;6.49396
Hüttlingen-Mettendorf;47.58234;8.974543
Essert-Pittet;46.727664;6.580661
Roche VD;46.358684;6.927052
Neuchâtel-Serrières;46.983955;6.903356
Zollikon;47.33733;8.569713
Zürich Affoltern;47.420912;8.508569
Berlin Ostbahnhof;52.510973;13.434559
Hendschiken;47.389423;8.207376
Prilly-Malley;46.526692;6.602631
Bülach;47.523946;8.536184
Im Holz;47.230907;7.475007
Netstal;47.064526;9.059428
Le Séchey;46.658456;6.306014
Stäfa;47.240525;8.721631
Territet;46.426381;6.922701
Emmenbrücke;47.070602;8.282553
Varzo;46.206307;8.245194
Flamatt;46.888481;7.319566
Eclépens;46.657188;6.552417
Baden;47.47642;8.307696
Bretonnières;46.715043;6.474732
Langenthal;47.217297;7.784712
Münster (Westf) Hbf;51.956563;7.635716
Wels Hbf;48.166082;14.02657
Bourg-en-Bresse;46.199925;5.214768
Winterthur Grüze;47.49875;8.751035
Bochum Hbf;51.478607;7.223273
Crémines-Zoo;47.272554;7.456624
Vernier;46.220708;6.093895
Rothrist;47.306452;7.879387
Herbolzheim (Breisgau);48.223864;7.767642
Heitersheim;47.879856;7.646198
Chambrelien;46.9671;6.81225
Reiden;47.24146;7.968757
Linthal Braunwaldbahn;46.928393;9.002481
Bad Bellingen;47.730806;7.5576
Bassersdorf;47.438567;8.626202
Zug Casino;47.162319;8.515185
Besançon-Viotte;47.24733;6.022
Näfels-Mollis;47.098721;9.069945
Horgen;47.261479;8.596906
Chiasso;45.832176;9.031444
Rüschlikon;47.307135;8.555151
Kassel-Wilhelmshöhe;51.313115;9.446899
Reconvilier;47.235222;7.227408
Capolago-Riva S. Vitale;45.90285;8.978893
Cousset;46.818599;6.977481
Rheinfelden Augarten;47.545871;7.768019
Lavorgo;46.440899;8.83974
Frutigen;46.588771;7.6516
Sins;47.188307;8.397804
Selzthal;47.55024;14.312841
Aarau;47.391355;8.051251
Deitingen;47.218214;7.618897
Hünenberg Chämleten;47.169151;8.449896
Denzlingen;48.068621;7.881436
Châtillens;46.570532;6.815486
Düsseldorf Flughafen;51.292009;6.786838
Granges-Marnand;46.758838;6.894286
Freienbach SBB;47.20731;8.756195
Herrliberg-Feldmeilen;47.281822;8.612718
Immensee;47.09161;8.462661
Rüti GL;46.934551;9.013025
Aigle;46.316848;6.963683
St-Blaise CFF;47.014564;6.98211
Braunschweig Hbf;52.252218;10.540293
Gütersloh Hbf;51.906943;8.385075
Riazzino;46.17551;8.885316
Erstein;48.423173;7.638521
Epesses;46.489315;6.745164
Bex;46.25146;7.000673
Maulburg;47.644375;7.780658
Crémines;47.28557;7.435311
Puidoux-Chexbres;46.493836;6.765686
Möhlin;47.561854;7.833856
Wien Hbf;48.184923;16.375865
Grellingen;47.44129;7.591984
Lindau Hbf;47.544343;9.680465
Belfort-Montbéliard TGV;47.585936;6.89763
Basel St. Johann;47.570295;7.572513
Imst-Pitztal;47.219077;10.76167
Steinmaur;47.489985;8.44684
